,name,hometown,high school?,sport,college
245,Jessi Storer,"Lincoln, Neb.",Lincoln East,womens swimming,iowa_state
246,Lehr Thorson,"Fort Dodge, Iowa",Fort Dodge,womens swimming,iowa_state
247,Kennedy Tranel,"Mukwonago, Wis.",Mukwonago,womens swimming,iowa_state
248,Karen Alvarez,"Huixquilucan, Mexico",Instituto Ciencias de la Comunicacion,womens tennis,iowa_state
249,Liera Bender,"Urbandale, Iowa",Johnston,womens tennis,iowa_state
250,Annabella Bonadonna,"Caracas, Venezuela",Santiago de Leon de Caracas,womens tennis,iowa_state
251,Maty Cancini,"Valencia, Venezuela",Colegio La Fe,womens tennis,iowa_state
252,Regina Espindola,"Tabasco, Mexico",Niagara Academy of Sports,womens tennis,iowa_state
253,Erin Freeman,"Downey, Calif.",Downey,womens tennis,iowa_state
254,Ekaterina Repina,"Voronezh, Russia",Rudjer Boskovic,womens tennis,iowa_state
255,Margarita Timakova,"Togliatti, Russia",Gymnasium #9,womens tennis,iowa_state
256,Ka'ven Berry,"Palatka, Fla.",Palatka,mens track,iowa_state
257,Zach Black,"Sallisaw, Okla.",Sallisaw,mens track,iowa_state
258,Patrick Bose,"West Des Moines, Iowa",Johnston,mens track,iowa_state
259,Chris Celona,"North Providence, R.I.",Bishop Hendricken,mens track,iowa_state
260,Sam Clausnitzer,"Bismarck, N.D.",Bismarck,mens track,iowa_state
261,Dan Curts,"Ellsworth, Maine",Ellsworth,mens track,iowa_state
262,Jaymes Dennison,"Penns Grove, N.J.",Penns Grove,mens track,iowa_state
263,Chandler Diercks,"Clear Lake, Iowa",Clear Lake,mens track,iowa_state
264,Greyson Dolezal,"Marion, Iowa",Linn-Mar,mens track,iowa_state
265,Cody Durbin,"Ida Grove, Iowa",Ida Grove,mens track,iowa_state
266,Eric Fogltanz,"Manitowoc, Wis.",Manitowoc Lincoln,mens track,iowa_state
267,Jalen Ford,"Lee's Summit, Mo.",Lee's Summit North,mens track,iowa_state
268,Jackson Foutch,"Kansas City, Mo.",Park Hill,mens track,iowa_state
269,Milo Greder,"Omaha, Neb.",Omaha Westside,mens track,iowa_state
270,Frank Hayes,"Sylvania, Ohio",Southview,mens track,iowa_state
271,Blake Hughes,"Williamsburg, Iowa",Williamsburg,mens track,iowa_state
272,Andrew Jordan,"Pataskala, Ohio",Watkins Memorial,mens track,iowa_state
273,Ben Kelly,"Richland, Wash.",Hanford,mens track,iowa_state
274,Edwin Kurgat,"Eldoret, Kenya",St. Patrick's Primary School,mens track,iowa_state
275,Festus Lagat,"Eldoret, Kenya",N/A,mens track,iowa_state
276,Stanley Langat,"Molo, Kenya",St. Joseph's Kirandich Secondary,mens track,iowa_state
277,Alexandru Mitirica,"Campulung, Romania",Liceo Statale A. Volta-F. Fellini,mens track,iowa_state
278,Tanner Norman,"Colorado Springs, Colo.",Classical Academy,mens track,iowa_state
279,John Nownes,"Omaha, Neb.",Creighton Prep,mens track,iowa_state
280,Vlad Pavlenko,"Arlington Heights, Ill.",John Hersey,mens track,iowa_state
281,Brett Peters,"Palmer, Kan.",Linn,mens track,iowa_state
282,Thomas Pollard,"Ames, Iowa",Gilbert,mens track,iowa_state
283,Wyatt Rhoads,"Ames, Iowa",Gilbert,mens track,iowa_state
284,Nathan Rodriguez,"Tempe, Ariz.",Corona Del Sol,mens track,iowa_state
285,Roshon Roomes,"Woodbury, Minn.",Woodbury,mens track,iowa_state
286,Logan Schneider,"Sycamore, Ill.",Sycamore HS,mens track,iowa_state
287,Zach Timm,"Monticello, Iowa",Monticello,mens track,iowa_state
288,Elijah Young,"Des Moines, Iowa",Lincoln,mens track,iowa_state
289,Karly Ackley,"Marvel, N.D.",Grand Forks Central,womens track,iowa_state
290,Jalaiya Bartley,"Cypress, Texas",Cypress Ranch,womens track,iowa_state
291,Abby Caldwell,"Waverly, Iowa",Waverly-Shell Rock,womens track,iowa_state
292,Larkin Chapman,"Muscatine, Iowa",Muscatine,womens track,iowa_state
293,Emily Coghill,"Saskatoon, Saskatchewan, Canada",Centennial Collegiate,womens track,iowa_state
294,Maggie Davis,"Mount Vernon, Iowa",Mount Vernon/Lisbon,womens track,iowa_state
295,Maeghan Easler,"Saydel, Iowa",Saydel,womens track,iowa_state
296,Tasha Frazier,"St. Louis, Mo.",Parkway Central,womens track,iowa_state
297,Anne Frisbie,"River Falls, Wis.",River Falls,womens track,iowa_state
298,Grace Gibbons,"Gilbert, Iowa",Gilbert High School,womens track,iowa_state
299,Evelyne Guay,"Oakville, Ontario, Canada",N/A,womens track,iowa_state
300,Essence Henderson,"Lafayette, Ind.",Lafayette Jefferson,womens track,iowa_state
301,Anna Herriott,"Loveland, Ohio",Ursuline Academy,womens track,iowa_state
302,Laurel Hoogensen,"West Des Moines, Iowa",Lincoln,womens track,iowa_state
303,Adriana Kammerer,"Coralville, Iowa",Iowa City Regina,womens track,iowa_state
304,Brina Kraft,"Muscatine, Iowa",Muscatine,womens track,iowa_state
305,Tessa Krempel,"Columbus, Ind.",Columbus North,womens track,iowa_state
306,Sarah Leinheiser,"Carmel, Ind.",Carmel,womens track,iowa_state
307,Cailie Logue,"Erie, Kan.",Girard,womens track,iowa_state
308,Jhoanmy Luque,"Valencia, Carabobo, Venezuela",N/A,womens track,iowa_state
309,Aleenah Marcucci,"Clinton, Iowa",Northeast,womens track,iowa_state
310,Kelly Naumann,"Tempe, Ariz.",Corona Del Sol,womens track,iowa_state
311,Christabel Okeke,"Carrollton, Texas",Carrollton Creekview,womens track,iowa_state
312,Bailey Righi,"Blue Springs, Mo.",Blue Springs South,womens track,iowa_state
313,Megan Schott,"Des Moines, Iowa",Roosevelt High School,womens track,iowa_state
314,Jasmine Staebler,"Guttenberg, Iowa",Clayton Ridge High School,womens track,iowa_state
315,Erinn Stenman-Fahey,"Ottawa, Ontario",Canterbury High School,womens track,iowa_state
316,Amanda Vestri,"Webster, N.Y.",Webster Thomas,womens track,iowa_state
317,Emma Whigham,"Bettendorf, Iowa",Pleasant Valley,womens track,iowa_state
318,Jill Whitman,"Columbia, Ill.",Cor Jesu Academy,womens track,iowa_state
319,Keiara Williams,"Kansas City, Mo.",North Kansas City,womens track,iowa_state
320,Gwynne Wright,"Packwood, Iowa",Pekin,womens track,iowa_state
321,Jakob Allison,"Waukee, Iowa",Waukee,wrestling,iowa_state
322,Sinjin Briggs,"Ames, Iowa",Gilbert,wrestling,iowa_state
323,Danny Bush,"Davenport, Iowa",Davenport Assumption,wrestling,iowa_state
324,Samuel Colbray,"Hermiston, Ore.",Hermiston,wrestling,iowa_state
